"GEOID","estimate"
"86411",151
"86413",13173
"86426",14928
"86429",7616
"86431",476
"86432",3444
"86433",43
"86434",1609
"86435",0
"86436",945
"86437",119
"86438",752
"86440",7028
"86441",2354
"86442",33895
"86443",0
"86444",1254
"86445",254
"86502",1095
"86503",10818
"86504",7201
"86505",8036
"86506",1266
"86507",2323
"86508",668
"86510",4617
"86511",3680
"86512",2787
"86514",3258
"86515",4251
"86520",1540
"86535",1391
"86538",1825
"86540",1120
"86544",1307
"86545",1469
"86547",1175
"86556",2324
"71601",14258
"71602",15859
"71603",31346
"71630",435
"71631",502
"71635",11423
"71638",3863
"71639",5614
"71640",3081
"71642",889
"71643",917
"71644",5503
"71646",6172
"71647",2099
"71651",80
"71652",1018
"71653",4138
"71654",4364
"71655",15094
"71658",732
"71659",79
"71660",764
"71661",368
"71662",199
"71663",586
"71665",5823
"71666",44
"71667",6617
"71670",1213
"71671",8485
"71674",585
"71675",1940
"71676",546
"71677",196
"71701",18836
"71711",88
"71720",1987
"71722",70
"71724",453
"71725",393
"71726",1237
"71730",30079
"71740",1632
"71742",5437
"71743",3855
"71744",2839
"71745",393
"71747",1174
"71749",2882
"71751",860
"71752",850
"71753",16660
"71758",287
"71759",655
"71762",2305
"71763",1694
"71764",1802
"71765",1858
"71766",719
"71770",3441
"71772",22
"71801",16894
"71820",26
"71822",8407
"71823",36
"71825",528
"71826",1134
"71827",883
"71832",11362
"71833",2001
"71834",889
"71835",1035
"71836",2930
"71837",5790
"71838",887
"71839",355
"71841",1031
"71842",2227
"71845",1961
"71846",2550
"71847",605
"71851",1966
"71852",10069
"71853",233
"71854",36538
"71855",537
"71857",4765
"71858",2472
"71859",510
"71860",2318
"71861",1900
"71862",713
"71865",168
"71866",583
"71901",30181
"71909",15872
"71913",47111
"71921",3551
"71922",153
"71923",15099
"71929",4341
"71933",1447
"71935",499
"71937",2041
"71940",1734
"71941",2070
"71943",4239
"71944",787
"71945",1200
"71949",1676
"71950",771
"71952",21
"71953",13996
"71956",1525
"71957",2826
"71958",2365
"71959",771
"71960",1679
"71961",974
"71962",666
"71964",4098
"71965",321
"71968",4256
"71969",352
"71970",809
"71971",608
"71972",355
"71973",1760
"71998",586
"71999",657
"72001",777
"72002",18314
"72003",821
"72004",816
"72005",100
"72006",2442
"72007",8563
"72010",6037
"72011",4391
"72012",13444
"72013",2229
"72014",58
"72015",29671
"72016",3230
"72017",509
"72019",26976
"72020",3605
"72021",3665
"72022",16810
"72023",36305
"72024",3762
"72025",762
"72026",288
"72027",1364
"72029",1610
"72030",552
"72031",7837
"72032",34482
"72034",49891
"72035",1721
"72036",608
"72037",30
"72038",49
"72039",2421
"72040",2719
"72041",1308
"72042",5058
"72044",837
"72045",1354
"72046",4283
"72047",744
"72048",97
"72051",683
"72055",917
"72057",1064
"72058",17242
"72059",39
"72060",601
"72061",127
"72063",2008
"72064",2341
"72065",5216
"72067",2431
"72068",421
"72069",1290
"72070",1688
"72072",504
"72073",1058
"72074",151
"72076",38831
"72079",750
"72080",315
"72081",7727
"72082",1896
"72083",161
"72084",1333
"72085",240
"72086",11049
"72087",1841
"72088",2375
"72099",678
"72101",3001
"72102",3141
"72103",12539
"72104",23835
"72106",5510
"72107",96
"72108",64
"72110",11296
"72111",1302
"72112",10936
"72113",25641
"72114",10805
"72116",22263
"72117",14769
"72118",21614
"72119",0
"72120",32998
"72121",2990
"72122",596
"72123",437
"72125",814
"72126",3889
"72127",2121
"72128",889
"72129",1064
"72130",822
"72131",4974
"72132",3276
"72134",332
"72135",2718
"72136",1136
"72137",2445
"72139",257
"72140",370
"72141",660
"72142",1988
"72143",36246
"72149",0
"72150",12675
"72152",405
"72153",2181
"72156",427
"72157",1541
"72160",9785
"72165",121
"72166",103
"72167",1694
"72168",2424
"72169",74
"72170",252
"72173",9104
"72175",261
"72176",9066
"72179",305
"72181",0
"72201",996
"72202",9545
"72204",31580
"72205",22552
"72206",23413
"72207",10325
"72209",31771
"72210",17808
"72211",22553
"72212",12279
"72223",23376
"72227",12164
"72301",24259
"72311",97
"72315",21609
"72320",1546
"72321",135
"72322",120
"72324",2226
"72325",59
"72326",1924
"72327",1589
"72328",46
"72329",162
"72330",531
"72331",3010
"72332",125
"72333",550
"72335",18559
"72338",7
"72339",148
"72340",170
"72341",205
"72342",4706
"72346",480
"72347",684
"72348",2482
"72350",1063
"72351",735
"72353",105
"72354",2359
"72355",2198
"72358",1401
"72359",534
"72360",5655
"72364",15874
"72365",2679
"72366",2017
"72367",6
"72368",1287
"72370",7510
"72372",1756
"72373",855
"72374",848
"72376",1851
"72377",22
"72379",15
"72383",75
"72384",888
"72386",2050
"72389",359
"72390",7904
"72392",534
"72394",473
"72395",1082
"72396",12952
"72401",58725
"72404",27706
"72410",383
"72411",2365
"72412",542
"72413",539
"72414",365
"72415",1339
"72416",5414
"72417",5606
"72419",1497
"72421",447
"72422",4587
"72424",92
"72425",357
"72426",169
"72427",365
"72428",79
"72429",284
"72430",384
"72431",374
"72432",6454
"72433",2909
"72434",1889
"72435",382
"72436",987
"72437",3722
"72438",3087
"72440",276
"72441",47
"72442",4241
"72443",2938
"72444",1895
"72445",46
"72447",1902
"72449",332
"72450",39120
"72453",194
"72454",4842
"72455",12418
"72456",480
"72457",185
"72458",594
"72459",1324
"72460",844
"72461",3599
"72462",341
"72464",61
"72466",1500
"72467",285
"72469",977
"72470",160
"72471",1187
"72472",9167
"72473",2457
"72476",6656
"72478",331
"72479",1406
"72482",1338
"72501",26150
"72512",2615
"72513",2397
"72515",0
"72517",224
"72519",3922
"72520",163
"72521",5611
"72522",462
"72523",923
"72524",402
"72526",235
"72527",449
"72528",0
"72529",5006
"72530",1267
"72531",984
"72532",1104
"72533",342
"72534",1794
"72536",522
"72537",742
"72538",417
"72539",126
"72540",189
"72542",3667
"72543",12636
"72544",741
"72546",244
"72550",721
"72553",49
"72554",2352
"72555",139
"72556",3343
"72560",9075
"72561",848
"72562",2220
"72564",383
"72565",726
"72566",619
"72567",264
"72568",1148
"72569",746
"72571",267
"72572",140
"72573",216
"72576",4059
"72577",694
"72578",104
"72579",1280
"72581",1096
"72583",2360
"72584",277
"72585",306
"72587",47
"72601",30327
"72611",1856
"72616",11201
"72617",48
"72619",2260
"72623",997
"72624",507
"72626",1379
"72628",1006
"72629",353
"72630",287
"72631",3808
"72632",4120
"72633",1599
"72634",4524
"72635",3913
"72636",3
"72638",6885
"72639",627
"72640",394
"72641",3164
"72642",1841
"72644",2497
"72645",2072
"72648",392
"72650",3855
"72651",1291
"72653",28285
"72655",246
"72658",1390
"72660",620
"72661",534
"72662",2729
"72663",155
"72666",83
"72668",198
"72669",101
"72670",79
"72672",301
"72675",1534
"72677",428
"72679",7
"72680",942
"72682",226
"72683",275
"72685",1288
"72686",110
"72687",6749
"72701",45104
"72703",32704
"72704",26416
"72712",57292
"72714",13324
"72715",15839
"72717",671
"72718",3294
"72719",12698
"72721",325
"72722",3331
"72727",6069
"72729",166
"72730",8481
"72732",5118
"72734",8410
"72736",6850
"72738",2471
"72739",744
"72740",9675
"72742",527
"72744",5363
"72745",13941
"72747",301
"72749",245
"72751",7692
"72752",343
"72753",9680
"72756",41584
"72758",41523
"72760",318
"72761",22529
"72762",41189
"72764",56913
"72768",1243
"72769",1425
"72773",1437
"72774",5975
"72776",615
"72801",19074
"72802",22415
"72821",1996
"72823",5850
"72824",1821
"72826",50
"72827",213
"72828",35
"72830",15704
"72832",1186
"72833",4356
"72834",10402
"72835",827
"72837",7991
"72838",115
"72839",315
"72840",2121
"72841",230
"72842",1158
"72843",2600
"72845",1006
"72846",4286
"72847",2765
"72851",440
"72852",82
"72853",2357
"72854",819
"72855",6263
"72856",352
"72857",1350
"72858",3827
"72860",269
"72863",1844
